Date_Run,Sub,Term,Dept,Course_Sections_Id,Name,Short_Title,Cap,Avail_Seats,Student_Count,Credits,Status,Status_Date,Mtg_Days,STime,ETime,Faculty_First,Faculty_Last,SDate,EDate,Xlist,Petition_Y_N,Printed_Comments,Method,Type,Location,Room,Number_Weeks,CIP_Code,Sec_Course_Types,STime_Extra,ETime_Extra,Course_Name,Corequisite,PTECH,Meets_With
2022-03-29,AET,2023SP,AET,165419,AET-220-301,Motors and Cameras,28,28,0,3.0,P,2022-02-28,"T, TH",10:50 AM,12:15 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,nan,14,15.0805,nan,10:50 AM,12:15 PM,AET-220,,,
2022-03-29,ARH,2023SP,AET,165427,ARH-111-301,Des Studio 2,16,16,0,4.0,P,2022-02-28,"M, W",1:30 PM,4:30 PM,nan,nan,2023-01-30,2023-05-13,5361.0,Y,Meets with IND-111-301.,LEC,nan,MC,nan,14,4.0501,"GEART, ARHPE",1:30 PM,4:30 PM,ARH-111,,,IND-111-301
2022-03-29,ARH,2023SP,AET,165430,ARH-120-301,Drafting Studio 1: Wood Frame,16,16,0,3.0,P,2022-02-28,"T, TH",1:30 PM,3:30 PM,nan,nan,2023-01-30,2023-05-13,5362.0,Y,Meets with IND-120-301.,LEC,nan,MC,nan,14,15.1303,nan,1:30 PM,3:30 PM,ARH-120,,,IND-120-301
2022-03-29,ARH,2023SP,AET,165433,ARH-140-301,Wood Frame Construction,24,24,0,3.0,P,2022-02-28,"T, TH",11:10 AM,12:35 PM,nan,nan,2023-01-30,2023-05-13,5363.0,Y,Meets with IND-140-301.,LEC,nan,MC,nan,14,15.1001,nan,11:10 AM,12:35 PM,ARH-140,,,IND-140-301
2022-03-29,ARH,2023SP,AET,165435,ARH-144-601,IntroSustainConstr,20,20,0,3.0,A,2022-02-28,T,6:15 PM,9:15 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,EVE,MC,nan,14,4.0401,ARHPE,6:15 PM,9:15 PM,ARH-144,,,
2022-03-29,ARH,2023SP,AET,165438,ARH-171-601,Tech: Des&Prod II,17,17,0,3.0,P,2022-02-28,M,6:15 PM,9:00 PM,nan,nan,2023-01-30,2023-05-13,5364.0,Y,Meets with IND-171-601.,LEC,EVE,MC,nan,14,4.0501,ARHPE,6:15 PM,9:00 PM,ARH-171,,,IND-171-601
2022-03-29,ARH,2023SP,AET,165441,ARH-215-301,Des Studio 3,16,16,0,4.0,P,2022-02-28,"M, W",1:30 PM,4:30 PM,nan,nan,2023-01-30,2023-05-13,5414.0,N,Meets with ARH-216-301.,LEC,nan,MC,nan,14,4.0501,"GEART, ARHPE",1:30 PM,4:30 PM,ARH-215,,,ARH-216-301
2022-03-29,ARH,2023SP,AET,165445,ARH-216-301,Des Studio 4,16,16,0,4.0,A,2022-02-28,"M, W",1:30 PM,4:30 PM,nan,nan,2023-01-30,2023-05-13,5414.0,N,Meets with ARH-215-301.,LEC,nan,MC,nan,14,4.0501,"GEART, ARHPE",1:30 PM,4:30 PM,ARH-216,,,ARH-215-301
2022-03-29,ARH,2023SP,AET,165464,ARH-231-301,HistArch&Interiors2,25,25,0,3.0,A,2022-02-28,"M, W",9:35 AM,11:00 AM,nan,nan,2023-01-30,2023-05-13,5365.0,N,Meets with IND-231-301.,LEC,nan,MC,nan,14,4.0801,"GEHUM, GEART",9:35 AM,11:00 AM,ARH-231,,,IND-231-301
2022-03-29,ARH,2023SP,AET,165466,ARH-262-601,Building Codes,20,20,0,3.0,A,2022-02-28,TH,6:15 PM,9:15 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,EVE,MC,nan,14,4.0901,nan,6:15 PM,9:15 PM,ARH-262,,,
2022-03-29,ATC,2023SP,AET,167129,ATC-103-301,Auto Fundamentals,24,24,0,4.0,A,2022-03-07,"T, TH",8:00 AM,9:25 AM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 176E,14,47.0604,nan,8:00 AM,9:25 AM,ATC-103,,,
2022-03-29,ATC,2023SP,AET,167130,ATC-103L-301,Auto Fund Lab,12,12,0,0.0,A,2022-03-07,"T, TH",9:30 AM,10:55 AM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,nan,MC,W 177,14,47.0604,nan,9:30 AM,10:55 AM,ATC-103L,,,
2022-03-29,ATC,2023SP,AET,167131,ATC-115-301,Auto Electricity & Electronic,24,24,0,4.0,A,2022-03-07,"T, TH",11:10 AM,12:35 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 176E,14,47.0604,nan,11:10 AM,12:35 PM,ATC-115,,,
2022-03-29,ATC,2023SP,AET,167132,ATC-115L-301,Auto Elec & Elec Lab,12,12,0,0.0,A,2022-03-07,"T, TH",1:30 PM,2:55 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,nan,MC,W 177,14,47.0604,nan,1:30 PM,2:55 PM,ATC-115L,,,
2022-03-29,ATC,2023SP,AET,167133,ATC-116-301,Auto Electrical Systems,24,24,0,3.0,A,2022-03-07,"M, W",3:05 PM,4:00 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 176E,14,47.0604,nan,3:05 PM,4:00 PM,ATC-116,,,
2022-03-29,ATC,2023SP,AET,167134,ATC-116L-501,Auto Electrical Systems Lab,12,12,0,0.0,A,2022-03-07,"M, W",4:05 PM,5:30 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,LD,MC,W 177,14,47.0604,nan,4:05 PM,5:30 PM,ATC-116L,,,
2022-03-29,ATC,2023SP,AET,167135,ATC-131-301,Engine Concepts,24,24,0,3.0,A,2022-03-07,"M, W",11:15 AM,12:10 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 176E,14,47.0615,nan,11:15 AM,12:10 PM,ATC-131,,,
2022-03-29,ATC,2023SP,AET,167136,ATC-131L-301,Engine Concepts Lab,20,20,0,0.0,A,2022-03-07,"M, W",1:30 PM,2:55 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,nan,MC,W 177,14,47.0615,nan,1:30 PM,2:55 PM,ATC-131L,,,
2022-03-29,ATC,2023SP,AET,167137,ATC-190-301,CO:Co-Op Ed I,20,20,0,3.0,A,2022-03-07,nan,nan,nan,nan,nan,2023-01-30,2023-05-13,,Y,nan,COOP,nan,MC,nan,14,47.0699,ALINT,nan,nan,ATC-190,,,
2022-03-29,ATC,2023SP,AET,167138,ATC-202-301,Auto Susp & Steer Sys,24,24,0,3.0,A,2022-03-07,"M, W",8:00 AM,8:55 AM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 176E,14,47.0604,nan,8:00 AM,8:55 AM,ATC-202,,,
2022-03-29,ATC,2023SP,AET,167139,ATC-202L-301,Auto Susp & Steer Sys Lab,12,12,0,0.0,A,2022-03-07,"M, W",9:00 AM,10:25 AM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,nan,MC,W 177,14,47.0604,nan,9:00 AM,10:25 AM,ATC-202L,,,
2022-03-29,ATC,2023SP,AET,167140,ATC-203-601,Manual Drive & Gear,24,24,0,3.0,A,2022-03-07,"T, TH",6:15 PM,7:10 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,EVE,MC,W 176E,14,47.0604,nan,6:15 PM,7:10 PM,ATC-203,,,
2022-03-29,ATC,2023SP,AET,167141,ATC-203L-601,Manual Drive & Gear Lab,12,12,0,0.0,A,2022-03-07,"T, TH",7:15 PM,8:40 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,EVE,MC,W 177,14,47.0604,nan,7:15 PM,8:40 PM,ATC-203L,,,
2022-03-29,ATC,2023SP,AET,167142,ATC-204-301,Automatic Drive & Gear,24,24,0,3.0,A,2022-03-07,"T, TH",3:05 PM,4:00 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 176E,14,47.0604,nan,3:05 PM,4:00 PM,ATC-204,,,
2022-03-29,ATC,2023SP,AET,167143,ATC-204L-501,Automatic Drive & Gear Lab,12,12,0,0.0,A,2022-03-07,"T, TH",4:05 PM,5:30 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,LD,MC,W 177,14,47.0604,nan,4:05 PM,5:30 PM,ATC-204L,,,
2022-03-29,ATC,2023SP,AET,167144,ATC-223-601,HEV and ALT Fuels,24,24,0,3.0,A,2022-03-07,"M, W",6:15 PM,7:10 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,EVE,MC,W 176E,14,47.0604,nan,6:15 PM,7:10 PM,ATC-223,,,
2022-03-29,ATC,2023SP,AET,167145,ATC-223L-601,HEV and ALT Fuels Lab,12,12,0,0.0,A,2022-03-07,"M, W",7:15 PM,8:40 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,EVE,MC,W 177,14,47.0604,nan,7:15 PM,8:40 PM,ATC-223L,,,
2022-03-29,ATC,2023SP,AET,167146,ATC-271-301,Climate Control Systems,24,24,0,3.0,A,2022-03-07,"T, TH",11:40 AM,12:35 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,W 177,14,47.0604,nan,11:40 AM,12:35 PM,ATC-271,,,
2022-03-29,ATC,2023SP,AET,167147,ATC-271L-301,Climate Control Systems Lab,12,12,0,0.0,A,2022-03-07,"T, TH",1:30 PM,2:55 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LAB,nan,MC,W 176E,14,47.0604,nan,1:30 PM,2:55 PM,ATC-271L,,,
2022-03-29,ATC,2023SP,AET,167148,ATC-290-301,CO:Co-Op Ed II,20,20,0,3.0,A,2022-03-07,nan,nan,nan,nan,nan,2023-01-30,2023-05-13,,Y,nan,COOP,nan,MC,nan,14,47.0699,ALINT,nan,nan,ATC-290,,,
2022-03-29,CMT,2023SP,AET,165468,CMT-101-301,Intro Computers/App,14,14,0,4.0,P,2022-02-28,"T, TH",10:10 AM,12:00 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,nan,MC,nan,14,11.0601,COMP,10:10 AM,12:00 PM,CMT-101,,,
2022-03-29,CMT,2023SP,AET,165470,CMT-101-601,Intro Computers/App,14,14,0,4.0,P,2022-02-28,"T, TH",6:15 PM,8:05 PM,nan,nan,2023-01-30,2023-05-13,,N,nan,LEC,EVE,MC,nan,14,11.0601,COMP,6:15 PM,8:05 PM,CMT-101,,,
2022-03-29,CMT,2023SP,AET,165473,CMT-171-301,Digital Electronics,24,24,0,4.0,A,2022-03-01,"M, W",1:30 PM,2:55 PM,nan,nan,2023-01-30,2023-05-13,5401.0,N,Co-requisite: CMT-171L-301 or 302. Meets with ENS-201-301.,LEC,nan,MC,nan,14,27.0303,COMP,1:30 PM,2:55 PM,CMT-171,"CMT-171L-301, CMT-171L-302",,ENS-201-301
2022-03-29,CMT,2023SP,AET,165474,CMT-171-601,Digital Electronics,24,24,0,4.0,P,2022-03-01,"M, W",6:15 PM,7:40 PM,nan,nan,2023-01-30,2023-05-13,5402.0,N,Co-requisite: CMT-171L-601. Meets with ENS-201-601.,LEC,EVE,MC,nan,14,27.0303,COMP,6:15 PM,7:40 PM,CMT-171,CMT-171L-601,,ENS-201-601
2022-03-29,CMT,2023SP,AET,165475,CMT-171-851,Digital Electronics,12,12,0,4.0,A,2022-02-28,M,8:45 AM,11:30 AM,nan,nan,2023-01-30,2023-05-13,,Y,Co-requisite: CMT-171L-851. P-TECH students only.,LEC,nan,MC,nan,14,27.0303,COMP,8:45 AM,11:30 AM,CMT-171,CMT-171L-851,P-TECH students only.,
