Date Run,Sub,Term,Dept,Course Sections Id,Name,Short Title,Cap,Avail Seats,Student Count,Credits,Status,Status Date,Mtg Days,STime,ETime,Faculty First,Faculty Last,SDate,EDate,Xlist,Petition Y/N,Printed Comments,Method,Type,Location,Room,# Weeks,CIP Code,Sec Course Types
3/29/2022,AET,2023SP,AET,165419,AET-220-301,Motors and Cameras,28,28,0,3,P,2/28/2022,"T, TH", 10:50 AM, 12:15 PM,,,1/30/2023,5/13/2023,,N,,LEC,,MC,,14,15.0805,
3/29/2022,ARH,2023SP,AET,165427,ARH-111-301,Des Studio 2,16,16,0,4,P,2/28/2022,"M, W", 1:30 PM, 4:30 PM,,,1/30/2023,5/13/2023,5361,Y,Meets with IND-111-301.,LEC,,MC,,14,04.0501,"GEART, ARHPE"
3/29/2022,ARH,2023SP,AET,165430,ARH-120-301,Drafting Studio 1: Wood Frame,16,16,0,3,P,2/28/2022,"T, TH", 1:30 PM, 3:30 PM,,,1/30/2023,5/13/2023,5362,Y,Meets with IND-120-301.,LEC,,MC,,14,15.1303,
3/29/2022,ARH,2023SP,AET,165433,ARH-140-301,Wood Frame Construction,24,24,0,3,P,2/28/2022,"T, TH", 11:10 AM, 12:35 PM,,,1/30/2023,5/13/2023,5363,Y,Meets with IND-140-301.,LEC,,MC,,14,15.1001,
3/29/2022,ARH,2023SP,AET,165435,ARH-144-601,IntroSustainConstr,20,20,0,3,A,2/28/2022,T, 6:15 PM, 9:15 PM,,,1/30/2023,5/13/2023,,N,,LEC,EVE,MC,,14,04.0401,ARHPE
3/29/2022,ARH,2023SP,AET,165438,ARH-171-601,Tech: Des&Prod II,17,17,0,3,P,2/28/2022,M, 6:15 PM, 9:00 PM,,,1/30/2023,5/13/2023,5364,Y,Meets with IND-171-601.,LEC,EVE,MC,,14,04.0501,ARHPE
3/29/2022,ARH,2023SP,AET,165441,ARH-215-301,Des Studio 3,16,16,0,4,P,2/28/2022,"M, W", 1:30 PM, 4:30 PM,,,1/30/2023,5/13/2023,5414,N,Meets with ARH-216-301.,LEC,,MC,,14,04.0501,"GEART, ARHPE"
3/29/2022,ARH,2023SP,AET,165445,ARH-216-301,Des Studio 4,16,16,0,4,A,2/28/2022,"M, W", 1:30 PM, 4:30 PM,,,1/30/2023,5/13/2023,5414,N,Meets with ARH-215-301.,LEC,,MC,,14,04.0501,"GEART, ARHPE"
3/29/2022,ARH,2023SP,AET,165464,ARH-231-301,HistArch&Interiors2,25,25,0,3,A,2/28/2022,"M, W", 9:35 AM, 11:00 AM,,,1/30/2023,5/13/2023,5365,N,Meets with IND-231-301.,LEC,,MC,,14,04.0801,"GEHUM, GEART"
3/29/2022,ARH,2023SP,AET,165466,ARH-262-601,Building Codes,20,20,0,3,A,2/28/2022,TH, 6:15 PM, 9:15 PM,,,1/30/2023,5/13/2023,,N,,LEC,EVE,MC,,14,04.0901,
3/29/2022,ATC,2023SP,AET,167129,ATC-103-301,Auto Fundamentals,24,24,0,4,A,3/7/2022,"T, TH", 8:00 AM, 9:25 AM,,,1/30/2023,5/13/2023,,N,,LEC,,MC,W 176E,14,47.0604,
3/29/2022,ATC,2023SP,AET,167130,ATC-103L-301,Auto Fund Lab,12,12,0,0,A,3/7/2022,"T, TH", 9:30 AM, 10:55 AM,,,1/30/2023,5/13/2023,,N,,LAB,,MC,W 177,14,47.0604,
3/29/2022,ATC,2023SP,AET,167131,ATC-115-301,Auto Electricity & Electronic,24,24,0,4,A,3/7/2022,"T, TH", 11:10 AM, 12:35 PM,,,1/30/2023,5/13/2023,,N,,LEC,,MC,W 176E,14,47.0604,
3/29/2022,ATC,2023SP,AET,167132,ATC-115L-301,Auto Elec & Elec Lab,12,12,0,0,A,3/7/2022,"T, TH", 1:30 PM, 2:55 PM,,,1/30/2023,5/13/2023,,N,,LAB,,MC,W 177,14,47.0604,
3/29/2022,ATC,2023SP,AET,167133,ATC-116-301,Auto Electrical Systems,24,24,0,3,A,3/7/2022,"M, W", 3:05 PM, 4:00 PM,,,1/30/2023,5/13/2023,,N,,LEC,,MC,W 176E,14,47.0604,
3/29/2022,ATC,2023SP,AET,167134,ATC-116L-501,Auto Electrical Systems Lab,12,12,0,0,A,3/7/2022,"M, W", 4:05 PM, 5:30 PM,,,1/30/2023,5/13/2023,,N,,LAB,LD,MC,W 177,14,47.0604,
3/29/2022,ATC,2023SP,AET,167135,ATC-131-301,Engine Concepts,24,24,0,3,A,3/7/2022,"M, W", 11:15 AM, 12:10 PM,,,1/30/2023,5/13/2023,,N,,LEC,,MC,W 176E,14,47.0615,
3/29/2022,ATC,2023SP,AET,167136,ATC-131L-301,Engine Concepts Lab,20,20,0,0,A,3/7/2022,"M, W", 1:30 PM, 2:55 PM,,,1/30/2023,5/13/2023,,N,,LAB,,MC,W 177,14,47.0615,
3/29/2022,ATC,2023SP,AET,167137,ATC-190-301,CO:Co-Op Ed I,20,20,0,3,A,3/7/2022,,,,,,1/30/2023,5/13/2023,,Y,,COOP,,MC,,14,47.0699,ALINT
3/29/2022,ATC,2023SP,AET,167138,ATC-202-301,Auto Susp & Steer Sys,24,24,0,3,A,3/7/2022,"M, W", 8:00 AM, 8:55 AM,,,1/30/2023,5/13/2023,,N,,LEC,,MC,W 176E,14,47.0604,
